,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,100.0,-4.516615073022704,0.3,108.0,-0.00011602929214698082,0.0002704219629465343,6e-05,6e-05
1,101.0,-4.966556434096845,0.3,144.0,-0.0001198230186298994,0.00034537898818000194,6e-05,6e-05
2,102.0,-5.103975269738305,0.3,180.0,-0.0002213413816831991,0.00030772998710844367,6e-05,6e-05
3,103.0,-5.269308457051922,0.3,216.0,-0.00010840901902327545,0.0002648739765560836,6e-05,6e-05
4,104.0,-4.76869307716607,0.3,252.0,-5.717886040613081e-05,0.00027470832493766155,6e-05,6e-05
5,105.0,-4.964508434924532,0.3,288.0,-9.585465255848279e-05,0.0004204154854033972,6e-05,6e-05
6,106.0,-4.428217368078385,0.3,324.0,-2.7447877473294976e-06,0.0003148918077402971,6e-05,6e-05
7,107.0,-4.33855628947926,0.3,360.0,-6.005409552322228e-05,0.0004068551924508242,6e-05,6e-05
8,108.0,-4.689472553285971,0.3,396.0,-8.880771702500066e-05,0.000320954559903761,6e-05,6e-05
9,109.0,-4.807159059335333,0.3,432.0,-7.296601986855159e-06,0.00018739321035225504,6e-05,6e-05
10,110.0,-4.135988702884731,0.3,468.0,8.033927200921793e-05,0.00030396571313088286,6e-05,6e-05
11,111.0,-4.806090760599618,0.3,504.0,6.102231215161892e-05,0.0002594343096994833,6e-05,6e-05
12,112.0,-4.169509189106596,0.3,540.0,7.836598311966884e-05,0.00033049660139477274,6e-05,6e-05
13,113.0,-4.434350930587136,0.3,576.0,0.0001473818119758821,0.000271777577233498,6e-05,6e-05
14,114.0,-4.574352612875578,0.3,612.0,0.0002658234051241237,0.0002718358127676596,6e-05,6e-05
15,115.0,-4.627272395678006,0.3,648.0,9.497829302539952e-05,0.00024693087575152205,6e-05,6e-05
16,116.0,-4.6677304775878055,0.3,684.0,0.00024080797871315086,0.00021117592907466873,6e-05,6e-05
17,117.0,-5.068581547929284,0.3,720.0,0.0001582615905069697,0.0003071951767642039,6e-05,6e-05
18,118.0,-4.728847525626794,0.3,756.0,0.0002941438425426597,0.00026628863404145643,6e-05,6e-05
19,119.0,-4.872058459609722,0.3,792.0,0.0002006971663445498,0.0002394796467728536,6e-05,6e-05
20,120.0,-4.907349432881089,0.3,828.0,0.0002630069373660493,0.000247256671751108,6e-05,6e-05
21,121.0,-4.34134436001876,0.3,864.0,0.00028826387843031663,0.00021013540672429844,6e-05,6e-05
22,122.0,-4.45167700516634,0.3,900.0,0.00035705178706990664,0.00015346628491537566,6e-05,6e-05
23,123.0,-4.562304549476545,0.3,936.0,0.000352892804479831,0.00014314322588697287,6e-05,6e-05
24,124.0,-4.378206297382619,0.3,972.0,0.000385587198946462,0.00010749244020429089,6e-05,6e-05
25,125.0,-4.43398161350468,0.3,1008.0,0.000477443106886867,0.00010280052460932155,6e-05,6e-05
26,126.0,-4.726181098430508,0.3,1044.0,0.00034301845590632035,9.97436841410476e-05,6e-05,6e-05
27,127.0,-4.482545908162239,0.3,1080.0,0.0004448074561981407,0.0001691544949608296,6e-05,6e-05
28,128.0,-4.4490252968477915,0.3,1116.0,0.00042572120212268805,9.616132122422492e-05,6e-05,6e-05
29,129.0,-3.979786714994582,0.3,1152.0,0.00043258492055854646,2.899918307181599e-06,6e-05,6e-05
30,130.0,-4.570225007218361,0.3,1188.0,0.00046002738326767384,8.063107217151979e-05,6e-05,6e-05
31,131.0,-4.49126604968689,0.3,1224.0,0.0004322857096428938,0.00011197087243006043,6e-05,6e-05
32,132.0,-4.070746922903257,0.3,1260.0,0.0005256944360201396,-7.867243374723216e-05,6e-05,6e-05
33,133.0,-4.506244827347002,0.3,1296.0,0.0005168394141481243,2.666569354016792e-07,6e-05,6e-05
34,134.0,-4.7738070476080345,0.3,1332.0,0.00033637210609420356,3.911853328346263e-05,6e-05,6e-05
