,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,100.0,-4.751130684440986,0.3,108.0,-0.00013795756944886154,0.00026695446230188966,6e-05,6e-05
1,101.0,-4.365908664330157,0.3,144.0,-4.3450212901112646e-05,0.000400537764175697,6e-05,6e-05
2,102.0,-4.800744554941203,0.3,180.0,-0.00017167876745884537,0.0003300975632319783,6e-05,6e-05
3,103.0,-4.93096708610504,0.3,216.0,-0.0001493849416708355,0.00017634983156538007,6e-05,6e-05
4,104.0,-4.826387661830501,0.3,252.0,-9.700509751404282e-05,0.0005038413562094195,6e-05,6e-05
5,105.0,-4.901352370559211,0.3,288.0,-5.047291479557396e-05,0.000401749223007815,6e-05,6e-05
6,106.0,-4.647493369740479,0.3,324.0,2.4348145819299355e-05,0.0003210289690098748,6e-05,6e-05
7,107.0,-4.54299632117774,0.3,360.0,1.3394646397219578e-05,0.00028909653280488937,6e-05,6e-05
8,108.0,-4.5262161692131695,0.3,396.0,-3.287138232100994e-05,0.00031424511075698816,6e-05,6e-05
9,109.0,-4.436780141783254,0.3,432.0,-2.310235875693474e-05,0.00031369843808442725,6e-05,6e-05
10,110.0,-4.408362625898502,0.3,468.0,3.556018465225048e-05,0.00034274342930469456,6e-05,6e-05
11,111.0,-4.413003660036645,0.3,504.0,6.153366431996794e-05,0.0004040814404158256,6e-05,6e-05
12,112.0,-4.268958910890221,0.3,540.0,0.00011993989808698964,0.00030155006661514925,6e-05,6e-05
13,113.0,-4.41405601673729,0.3,576.0,0.00021189128874926232,0.00040075822128249984,6e-05,6e-05
14,114.0,-4.894412532735494,0.3,612.0,0.00010809599360709679,0.0002930047751443837,6e-05,6e-05
15,115.0,-4.80104595080375,0.3,648.0,0.00025154852457971244,0.00026213956899136985,6e-05,6e-05
16,116.0,-4.724567731273757,0.3,684.0,0.00021628777659728313,0.00029564425537644576,6e-05,6e-05
17,117.0,-4.473986546784649,0.3,720.0,0.00024347420228163012,0.00020614291879083148,6e-05,6e-05
18,118.0,-4.27119363411437,0.3,756.0,0.00031056100423796664,0.00026147424719382946,6e-05,6e-05
19,119.0,-4.38054494859075,0.3,792.0,0.00024454667742444,0.0001467472593740007,6e-05,6e-05
20,120.0,-4.616288685841758,0.3,828.0,0.00028910530366978523,0.00018799707773088192,6e-05,6e-05
21,121.0,-4.125774238746451,0.3,864.0,0.0003154801774074396,0.00027318132373042257,6e-05,6e-05
22,122.0,-4.520323059737904,0.3,900.0,0.00026366513335975787,0.00011599603952401873,6e-05,6e-05
23,123.0,-4.689644757839884,0.3,936.0,0.00028096182009469125,0.00017108116896668053,6e-05,6e-05
24,124.0,-5.032765530728317,0.3,972.0,0.00034511225233721754,0.0001492545204585841,6e-05,6e-05
25,125.0,-4.148995698188435,0.3,1008.0,0.000446472947647506,0.0001402809206571243,6e-05,6e-05
26,126.0,-4.608525414910251,0.3,1044.0,0.0005175822324180295,7.867630837093094e-05,6e-05,6e-05
27,127.0,-4.3199890081018015,0.3,1080.0,0.00043597130124348345,0.00010681920584228325,6e-05,6e-05
28,128.0,-4.276157838560874,0.3,1116.0,0.0004952897203835769,0.00012697456720872,6e-05,6e-05
29,129.0,-4.975768800263914,0.3,1152.0,0.000417301727300248,7.695822668604231e-05,6e-05,6e-05
30,130.0,-4.305222367919976,0.3,1188.0,0.00041298857657588674,1.2689954787225492e-05,6e-05,6e-05
31,131.0,-4.139673432260397,0.3,1224.0,0.0005522642607607678,6.814740575877815e-05,6e-05,6e-05
32,132.0,-4.460166281977763,0.3,1260.0,0.0005558055758665933,-2.0288034955244607e-05,6e-05,6e-05
33,133.0,-4.577436621191816,0.3,1296.0,0.0005298303112725106,-5.336655475218503e-05,6e-05,6e-05
34,134.0,-4.605565871237836,0.3,1332.0,0.00043651460178046675,-7.670351453184295e-05,6e-05,6e-05
35,135.0,-4.091432033945324,0.3,1368.0,0.0004843138037549481,0.00012200948003116796,6e-05,6e-05
36,136.0,-3.8024475950625085,0.3,1404.0,0.0005197286289018898,-1.677961770873373e-05,6e-05,6e-05
37,137.0,-4.5298886825864075,0.3,1440.0,0.0004735857505195258,-0.0001722924574093405,6e-05,6e-05
38,138.0,-4.143232323830687,0.3,1476.0,0.0005949817147496675,-7.50261012723239e-05,6e-05,6e-05
39,139.0,-4.592197453162826,0.3,1512.0,0.0005633174580943269,-0.00024273649364002912,6e-05,6e-05
40,140.0,-3.777432770129844,0.3,1548.0,0.00047102310428091273,-0.00012278540696855023,6e-05,6e-05
41,141.0,-4.358868598461887,0.3,1584.0,0.00040111370862965374,-0.0001143138951919713,6e-05,6e-05
42,142.0,-4.8890334610194515,0.3,1620.0,0.0004152706733148523,-0.00010632413338040176,6e-05,6e-05
43,143.0,-4.08047989468674,0.3,1656.0,0.00043199002522979947,-0.00018100802494623716,6e-05,6e-05
44,144.0,-4.67014481677048,0.3,1692.0,0.00038597456889540515,-0.00030373707039696646,6e-05,6e-05
45,145.0,-4.747923395052114,0.3,1728.0,0.0004702703315215191,-0.00022153797942760478,6e-05,6e-05
46,146.0,-4.343246520262702,0.3,1764.0,0.0004648212521635955,-0.00015709083564599373,6e-05,6e-05
47,147.0,-4.606117527886326,0.3,1800.0,0.0003858540588839676,-0.00022865571398378732,6e-05,6e-05
48,148.0,-4.811257972121738,0.3,1836.0,0.00042730770147902925,-0.0002305312631015841,6e-05,6e-05
49,149.0,-4.54539017686891,0.3,1872.0,0.00031505027132756945,-0.0002632439908451736,6e-05,6e-05
50,150.0,-4.1937557494779725,0.3,1908.0,0.00040835384486255516,-0.0002980001176489742,6e-05,6e-05
51,151.0,-4.654005522764102,0.3,1944.0,0.0002712150891134219,-0.0003971217011201042,6e-05,6e-05
52,152.0,-4.085783282874943,0.3,1980.0,0.0003125417393583341,-0.0002620457055196666,6e-05,6e-05
53,153.0,-4.0738453920260635,0.3,2016.0,0.00031977385719466993,-0.00033782202412663753,6e-05,6e-05
54,154.0,-4.487826360211613,0.3,2052.0,0.0003921198871696082,-0.00023293696680063566,6e-05,6e-05
