,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,3690.0,-8.574925645799485,0.3,108.0,1.1991690583950675e-05,0.00039865134913322735,6e-05,6e-05
1,3691.0,-8.324564584629726,0.3,126.0,6.612643853517208e-05,0.0003396818341937195,6e-05,6e-05
2,3692.0,-8.238641844966503,0.3,144.0,-1.581771636990534e-05,0.0004141580625200454,6e-05,6e-05
3,3693.0,-8.308625159224544,0.3,162.0,3.477175130449226e-06,0.0004443218000379619,6e-05,6e-05
4,3694.0,-8.652432976983814,0.3,180.0,6.032946696169778e-05,0.00035530896046360213,6e-05,6e-05
5,3695.0,-8.18547459950431,0.3,198.0,8.826263166900587e-05,0.00030535158235264824,6e-05,6e-05
6,3696.0,-8.688301586822318,0.3,216.0,5.401073077190448e-05,0.00035718157474544664,6e-05,6e-05
7,3697.0,-8.574965243076495,0.3,234.0,7.933574274512979e-05,0.00041597979152858765,6e-05,6e-05
8,3698.0,-8.186126149391441,0.3,252.0,0.00018476763118217439,0.0003179361392185919,6e-05,6e-05
9,3699.0,-8.615949373521566,0.3,270.0,0.0001719979814141205,0.0003070957880063475,6e-05,6e-05
10,3700.0,-8.335343296281927,0.3,288.0,0.00019931332562329372,0.0003436228930115642,6e-05,6e-05
11,3701.0,-8.053401157516012,0.3,306.0,0.0002446401356209653,0.000490318795673993,6e-05,6e-05
12,3702.0,-8.1763907558903,0.3,324.0,0.00014965773614600457,0.0003047690774580935,6e-05,6e-05
13,3703.0,-8.089087549160164,0.3,342.0,0.00011111163839547005,0.00029633777921681095,6e-05,6e-05
14,3704.0,-8.049738155373984,0.3,360.0,0.00015875588141151938,0.00045669563091709864,6e-05,6e-05
15,3705.0,-8.983447739166497,0.3,378.0,0.0002113448826278911,0.0003656501817667956,6e-05,6e-05
16,3706.0,-7.935949276390616,0.3,396.0,0.00021462173171397944,0.0003499909325056253,6e-05,6e-05
17,3707.0,-8.247279411745371,0.3,414.0,0.00019910075849607098,0.00044957410547585635,6e-05,6e-05
18,3708.0,-8.416263042773963,0.3,432.0,0.00017112392271839124,0.00034709116133021,6e-05,6e-05
19,3709.0,-8.838747959945065,0.3,450.0,0.00023908233368680917,0.0003370263330775766,6e-05,6e-05
20,3710.0,-8.360885849436803,0.3,468.0,0.00033089765381529533,0.00042916362242919666,6e-05,6e-05
21,3711.0,-8.49930787388922,0.3,486.0,0.0002602719756346674,0.0002641895959556939,6e-05,6e-05
22,3712.0,-8.653005121285075,0.3,504.0,0.0003287717927824795,0.0003213909334890831,6e-05,6e-05
23,3713.0,-9.071561242213862,0.3,522.0,0.00030927814655521487,0.00034035497651881456,6e-05,6e-05
24,3714.0,-8.304391242873699,0.3,540.0,0.000417314000393693,0.000336880760377309,6e-05,6e-05
25,3715.0,-7.929304080732934,0.3,558.0,0.00037216796913230155,0.0003525095852871923,6e-05,6e-05
26,3716.0,-8.699215309215894,0.3,576.0,0.0004549101125683708,0.00034300642005839424,6e-05,6e-05
27,3717.0,-8.014678771885917,0.3,594.0,0.00044119360125210457,0.00031721180377566134,6e-05,6e-05
28,3718.0,-7.987788631505101,0.3,612.0,0.00040716067567791834,0.0002851835757966252,6e-05,6e-05
29,3719.0,-8.455284249165315,0.3,630.0,0.0003599105924815734,0.00033536218031904184,6e-05,6e-05
30,3720.0,-9.075472814684993,0.3,648.0,0.00034096504477053937,0.00028932595223461483,6e-05,6e-05
31,3721.0,-8.452983917652885,0.3,666.0,0.0003761329426948962,0.0003653129222462419,6e-05,6e-05
32,3722.0,-8.026446278616822,0.3,684.0,0.0004118455591566043,0.00036892352599275337,6e-05,6e-05
33,3723.0,-8.48131345639614,0.3,702.0,0.0005380817811567349,0.00012193515149139304,6e-05,6e-05
34,3724.0,-8.229885426540319,0.3,720.0,0.0004449682199401463,0.00021274501684798467,6e-05,6e-05
35,3725.0,-8.451279939340003,0.3,738.0,0.0005053982989862364,0.00032300632422114866,6e-05,6e-05
