,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,3672.0,-7.719012001967281,0.3,108.0,-3.784623176441542e-05,0.00034750865792534095,6e-05,6e-05
1,3673.0,-8.310346406958962,0.3,144.0,3.118595426410639e-05,0.00040579725263370107,6e-05,6e-05
2,3674.0,-7.8145568906512555,0.3,180.0,3.1103910595824916e-05,0.0003884889729545645,6e-05,6e-05
3,3675.0,-7.674328418413339,0.3,216.0,3.275760061255041e-05,0.0002937606048917899,6e-05,6e-05
4,3676.0,-8.214204489039542,0.3,252.0,0.00015074833693974892,0.0004654906143893661,6e-05,6e-05
5,3677.0,-8.384101985059868,0.3,288.0,0.00012328296415082296,0.0003132047008979754,6e-05,6e-05
6,3678.0,-8.355037259485096,0.3,324.0,0.0002757172904905336,0.00045008461469434383,6e-05,6e-05
7,3679.0,-8.424395739204511,0.3,360.0,0.0002825362504149351,0.0003842143597364551,6e-05,6e-05
8,3680.0,-8.811299569597802,0.3,396.0,0.00018195051429905867,0.0003761743306139676,6e-05,6e-05
9,3681.0,-8.399676536041566,0.3,432.0,0.00017439507018073832,0.00032141721908271204,6e-05,6e-05
10,3682.0,-8.196847814073749,0.3,468.0,0.00037834498869605685,0.00030604010693611165,6e-05,6e-05
11,3683.0,-8.545166274805597,0.3,504.0,0.0002660234797776186,0.0003083916674161218,6e-05,6e-05
12,3684.0,-8.417644143750287,0.3,540.0,0.0003588141305903994,0.0003058660778141761,6e-05,6e-05
13,3685.0,-7.915249446205998,0.3,576.0,0.00028767481937811063,0.0001788348708324356,6e-05,6e-05
14,3686.0,-8.241084600079084,0.3,612.0,0.0004699192043488903,0.00019214231136314899,6e-05,6e-05
15,3687.0,-8.45554864794888,0.3,648.0,0.00038035463382953005,0.0003659294856101777,6e-05,6e-05
16,3688.0,-8.45225980544507,0.3,684.0,0.0004298412411478514,0.0003165081456147538,6e-05,6e-05
17,3689.0,-8.078693909163324,0.3,720.0,0.0004986976990928892,0.0002791379579627575,6e-05,6e-05
18,3690.0,-8.218802292788029,0.3,756.0,0.0005432750070881709,0.00022982494186590368,6e-05,6e-05
19,3691.0,-8.254964274897539,0.3,792.0,0.000639125507218194,0.0003121253047332314,6e-05,6e-05
20,3692.0,-7.812442086232989,0.3,828.0,0.0005905718544562458,0.00013139266238699934,6e-05,6e-05
21,3693.0,-8.818957909377778,0.3,864.0,0.0005055579343546744,0.00015407851785247337,6e-05,6e-05
22,3694.0,-8.096785309375536,0.3,900.0,0.0005049385673052605,0.00014965368135077056,6e-05,6e-05
23,3695.0,-8.31049795699146,0.3,936.0,0.0005718208796066134,0.00021065896443125866,6e-05,6e-05
24,3696.0,-8.405752326553026,0.3,972.0,0.0007227692329882518,0.00010151699662952216,6e-05,6e-05
25,3697.0,-8.220014820309276,0.3,1008.0,0.0005973801285524113,8.69809089130057e-05,6e-05,6e-05
26,3698.0,-7.8017410991811005,0.3,1044.0,0.0006411006230742306,0.00021393571931644184,6e-05,6e-05
27,3699.0,-8.198720151805002,0.3,1080.0,0.0006847515669361709,-1.8329224808883945e-06,6e-05,6e-05
28,3700.0,-8.570450363124678,0.3,1116.0,0.0006921276826929674,2.9036854143100623e-05,6e-05,6e-05
29,3701.0,-8.753261182818042,0.3,1152.0,0.0006575082056215853,5.348265780736778e-06,6e-05,6e-05
30,3702.0,-8.52494315173552,0.3,1188.0,0.0007146247240800603,-5.696596478042758e-05,6e-05,6e-05
31,3703.0,-8.404461598924664,0.3,1224.0,0.0007487144409259423,1.7078779817186595e-05,6e-05,6e-05
32,3704.0,-8.568736615806152,0.3,1260.0,0.0007912167940343289,-4.0748704553637596e-05,6e-05,6e-05
33,3705.0,-8.174672261535129,0.3,1296.0,0.0006199712134835143,-0.00014572628846171767,6e-05,6e-05
34,3706.0,-8.354935310854094,0.3,1332.0,0.0007233417333303636,-7.267288534228825e-05,6e-05,6e-05
35,3707.0,-8.752698014200913,0.3,1368.0,0.0007299122085991771,-0.00019834671677772706,6e-05,6e-05
36,3708.0,-8.116222603586584,0.3,1404.0,0.0007898834597141633,-0.00020180837966455483,6e-05,6e-05
37,3709.0,-8.111108032553425,0.3,1440.0,0.0006559490076861581,-0.00023450878446137544,6e-05,6e-05
38,3710.0,-8.489578418027179,0.3,1476.0,0.0007490068864117596,-0.00013736691868763485,6e-05,6e-05
39,3711.0,-8.226709141027918,0.3,1512.0,0.0007750731817510962,-0.00012660194992521678,6e-05,6e-05
40,3712.0,-8.481510847721193,0.3,1548.0,0.0007237602570415384,-0.00018467714496747526,6e-05,6e-05
41,3713.0,-8.722340663086475,0.3,1584.0,0.0006398882993824204,-0.0003006146145105491,6e-05,6e-05
42,3714.0,-8.560743586129584,0.3,1620.0,0.0007143026105457206,-0.00032090641812867625,6e-05,6e-05
