,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,3672.0,-8.408950396114566,0.3,108.0,-2.5043724695985493e-05,0.00040514664624742385,6e-05,6e-05
1,3673.0,-8.056349260392516,0.3,144.0,2.6671689313978272e-05,0.0003648682598652913,6e-05,6e-05
2,3674.0,-8.283311639042713,0.3,180.0,5.921696367246149e-05,0.00039203037313959623,6e-05,6e-05
3,3675.0,-8.024264293754387,0.3,216.0,0.00011463041988524436,0.000278918311196357,6e-05,6e-05
4,3676.0,-8.17839256306818,0.3,252.0,0.00011082685314423551,0.0003852954263368473,6e-05,6e-05
5,3677.0,-8.09168322059125,0.3,288.0,0.00017467804595526195,0.00030517185353458505,6e-05,6e-05
6,3678.0,-8.55115201472936,0.3,324.0,0.00012766989076310126,0.00034876660673568554,6e-05,6e-05
7,3679.0,-8.22326348940818,0.3,360.0,0.00019131917032216513,0.00033683233665491555,6e-05,6e-05
8,3680.0,-7.8802383744572815,0.3,396.0,0.00020590314580678267,0.0003757477101789086,6e-05,6e-05
9,3681.0,-8.604593396127449,0.3,432.0,0.00032554850054287965,0.00039459141181950516,6e-05,6e-05
10,3682.0,-8.690694074025364,0.3,468.0,0.00028168570109811007,0.00039474581622016617,6e-05,6e-05
11,3683.0,-8.424603588650125,0.3,504.0,0.00021334154420393645,0.00036305281676836707,6e-05,6e-05
12,3684.0,-8.15112073717938,0.3,540.0,0.00031453942090921565,0.0002920235550696927,6e-05,6e-05
13,3685.0,-8.073754692866626,0.3,576.0,0.00035590917483058687,0.00032939158443802733,6e-05,6e-05
14,3686.0,-7.695810897058595,0.3,612.0,0.0004592731120265141,0.0002883503376604102,6e-05,6e-05
15,3687.0,-8.749878094663401,0.3,648.0,0.00033289377287087647,0.000269452451540095,6e-05,6e-05
16,3688.0,-8.371070206441638,0.3,684.0,0.0005429654082629059,0.0002345226898748541,6e-05,6e-05
17,3689.0,-7.921344202670923,0.3,720.0,0.0004345980616375844,0.0003223862967818858,6e-05,6e-05
18,3690.0,-8.347150928541387,0.3,756.0,0.0005727982919908557,0.00022948023908500747,6e-05,6e-05
19,3691.0,-8.419632784660637,0.3,792.0,0.0004884974529316163,0.00023904757028845713,6e-05,6e-05
20,3692.0,-8.242660612706256,0.3,828.0,0.0005439239212913688,0.0002793398307806366,6e-05,6e-05
21,3693.0,-8.340919538661403,0.3,864.0,0.0005126626844059454,0.00015601316947752922,6e-05,6e-05
22,3694.0,-8.441847109383534,0.3,900.0,0.0005728490074208726,6.826665139797957e-05,6e-05,6e-05
23,3695.0,-8.145501594542445,0.3,936.0,0.0006118134038095929,0.00012839304193863803,6e-05,6e-05
24,3696.0,-8.167753641328384,0.3,972.0,0.0006566715565504432,0.0001312472556190019,6e-05,6e-05
25,3697.0,-8.561278237357175,0.3,1008.0,0.0006826998813120904,0.00013289930576665664,6e-05,6e-05
26,3698.0,-8.343673443125772,0.3,1044.0,0.0006927875402410215,7.988954483611022e-05,6e-05,6e-05
27,3699.0,-8.249582214072053,0.3,1080.0,0.0006759537628780295,0.00010743538052530787,6e-05,6e-05
28,3700.0,-8.313334513406858,0.3,1116.0,0.0005494621682805619,0.00012633512328662748,6e-05,6e-05
29,3701.0,-8.314905481643555,0.3,1152.0,0.0006702850264860313,-1.9318171621252014e-05,6e-05,6e-05
30,3702.0,-8.352613242405942,0.3,1188.0,0.0007279667521298386,2.7029931664005216e-05,6e-05,6e-05
31,3703.0,-7.9354340352090516,0.3,1224.0,0.0006536248814198043,-0.00011671116503132891,6e-05,6e-05
32,3704.0,-8.110195284543872,0.3,1260.0,0.0007287368731048071,-0.00011609321294634198,6e-05,6e-05
33,3705.0,-8.172923070737312,0.3,1296.0,0.000780203615738308,-9.836301734188657e-05,6e-05,6e-05
34,3706.0,-8.27468691070733,0.3,1332.0,0.0007242610111050377,-3.187424453524218e-05,6e-05,6e-05
35,3707.0,-8.229217526068206,0.3,1368.0,0.0007321154587476987,-0.00015854846404367585,6e-05,6e-05
36,3708.0,-8.222703516866247,0.3,1404.0,0.0006286210813519072,-0.0001399709231818178,6e-05,6e-05
37,3709.0,-8.244722306352582,0.3,1440.0,0.0007387647264382155,-0.00017859859939711704,6e-05,6e-05
38,3710.0,-8.357639072367483,0.3,1476.0,0.0008847800263760194,-0.00024166665684797692,6e-05,6e-05
39,3711.0,-8.344962519212345,0.3,1512.0,0.0007621066565419444,-0.00016845678801196014,6e-05,6e-05
40,3712.0,-7.89159057385861,0.3,1548.0,0.0007194431481567107,-0.00026032665248936003,6e-05,6e-05
41,3713.0,-8.464239977958146,0.3,1584.0,0.0007855980416104215,-0.0003134093188556971,6e-05,6e-05
42,3714.0,-8.250893073210515,0.3,1620.0,0.00060507916941745,-0.00022319876705646102,6e-05,6e-05
43,3715.0,-8.86436116323057,0.3,1656.0,0.0006780066128522367,-0.000264655631102081,6e-05,6e-05
44,3716.0,-8.257868061812877,0.3,1692.0,0.0006954022556701101,-0.0003489208303102524,6e-05,6e-05
45,3717.0,-8.311855882095182,0.3,1728.0,0.0006109071573584071,-0.00026971123010108907,6e-05,6e-05
46,3718.0,-8.070212715825638,0.3,1764.0,0.0007010098251143106,-0.00026671443375466736,6e-05,6e-05
47,3719.0,-8.952958001965218,0.3,1800.0,0.000727700643587191,-0.000342847637772207,6e-05,6e-05
48,3720.0,-7.752129609945829,0.3,1836.0,0.0005936991626217782,-0.00036138680316803924,6e-05,6e-05
49,3721.0,-8.051084584726206,0.3,1872.0,0.0007688247840788665,-0.0003970457244900385,6e-05,6e-05
50,3722.0,-7.710160583746665,0.3,1908.0,0.0005503299730395574,-0.0004193028438023729,6e-05,6e-05
51,3723.0,-8.189607928447167,0.3,1944.0,0.0006012002985038012,-0.0004850397049846113,6e-05,6e-05
52,3724.0,-8.90493166421292,0.3,1980.0,0.00047471988657908615,-0.0005292283629874896,6e-05,6e-05
53,3725.0,-8.88796375064438,0.3,2016.0,0.0004491532583051742,-0.0004191502371504811,6e-05,6e-05
54,3726.0,-8.457978668294905,0.3,2052.0,0.0005657093869861623,-0.00039083954662172084,6e-05,6e-05
55,3727.0,-8.719812383394878,0.3,2088.0,0.0004959470148452564,-0.0005062645471592613,6e-05,6e-05
56,3728.0,-7.952805864057572,0.3,2124.0,0.0004845024295378075,-0.0005766661435537345,6e-05,6e-05
57,3729.0,-8.277179069213432,0.3,2160.0,0.0004743855529180018,-0.0004745060782748175,6e-05,6e-05
58,3730.0,-8.576388342770297,0.3,2196.0,0.00036425905776082024,-0.0005283012149774938,6e-05,6e-05
59,3731.0,-7.908452872579218,0.3,2232.0,0.0003140683735640058,-0.0005159234794624852,6e-05,6e-05
60,3732.0,-8.518400069083185,0.3,2268.0,0.00040973629220850615,-0.0005842263778458025,6e-05,6e-05
61,3733.0,-8.44800016602278,0.3,2304.0,0.0002950381107593625,-0.0004593350731342214,6e-05,6e-05
62,3734.0,-8.280075460861765,0.3,2340.0,0.0002501924053051487,-0.0006254607003453402,6e-05,6e-05
63,3735.0,-9.016304301157538,0.3,2376.0,0.00019777796384590034,-0.0005018270596848004,6e-05,6e-05
64,3736.0,-8.633454774470932,0.3,2412.0,0.00029422449871883196,-0.0006334311588877225,6e-05,6e-05
65,3737.0,-8.583287244616985,0.3,2448.0,0.00023759005116343572,-0.0005336087407710923,6e-05,6e-05
66,3738.0,-7.888630304291257,0.3,2484.0,0.00011628843241783928,-0.0005087734358829208,6e-05,6e-05
67,3739.0,-9.02186067376277,0.3,2520.0,0.0001573146135871617,-0.0005951850704962503,6e-05,6e-05
68,3740.0,-8.530952867801865,0.3,2556.0,0.0001425174239014059,-0.0005527233607468096,6e-05,6e-05
69,3741.0,-8.533639099759204,0.3,2592.0,0.00010527197333464894,-0.0005658297321197762,6e-05,6e-05
70,3742.0,-8.526590117065988,0.3,2628.0,-1.537581425791082e-05,-0.00045842558299105836,6e-05,6e-05
71,3743.0,-8.045254240745177,0.3,2664.0,-1.1950472374193119e-05,-0.0005668016107925046,6e-05,6e-05
72,3744.0,-8.431063982343744,0.3,2700.0,-9.628423356972319e-05,-0.0004680906772610543,6e-05,6e-05
73,3745.0,-8.516653731194962,0.3,2736.0,3.330722056468499e-05,-0.00045216052226394765,6e-05,6e-05
74,3746.0,-8.655468264671471,0.3,2772.0,-8.650214576353647e-06,-0.000493185383356998,6e-05,6e-05
75,3747.0,-8.897786594299765,0.3,2808.0,-0.00012171149356723977,-0.00036930231357927546,6e-05,6e-05
76,3748.0,-8.721399412574847,0.3,2844.0,-0.00022656161064443174,-0.0005417230855940219,6e-05,6e-05
77,3749.0,-8.338634618727985,0.3,2880.0,-0.0001434957331980248,-0.0004826121139705519,6e-05,6e-05
78,3750.0,-8.745398433230255,0.3,2916.0,-0.00021381178575579412,-0.0004543998577806949,6e-05,6e-05
79,3751.0,-8.331584985611782,0.3,2952.0,-0.00015527950579975977,-0.0004842898429582082,6e-05,6e-05
80,3752.0,-9.0307539344744,0.3,2988.0,-0.0001944553954615885,-0.00039329244679591933,6e-05,6e-05
81,3753.0,-8.595420911732278,0.3,3024.0,-0.0002706755858897522,-0.0005248506244111374,6e-05,6e-05
82,3754.0,-8.102008341391578,0.3,3060.0,-0.000246578809331148,-0.0004225053216077659,6e-05,6e-05
83,3755.0,-8.84277154130728,0.3,3096.0,-0.0002334201653760411,-0.0004890445601260972,6e-05,6e-05
84,3756.0,-8.632712033863834,0.3,3132.0,-0.0004361901515238238,-0.00043416617928102627,6e-05,6e-05
85,3757.0,-8.447862643736514,0.3,3168.0,-0.0003334043273865513,-0.0003366619689524768,6e-05,6e-05
86,3758.0,-8.283310284524767,0.3,3204.0,-0.00020839934215035734,-0.00041820941008382823,6e-05,6e-05
87,3759.0,-8.779482520260155,0.3,3240.0,-0.0003054631111244556,-0.0003092570611330901,6e-05,6e-05
88,3760.0,-8.511945168931222,0.3,3276.0,-0.00032944688949323103,-0.00033013254861998686,6e-05,6e-05
89,3761.0,-8.667259863648397,0.3,3312.0,-0.0003839138312063626,-0.00036368773510878733,6e-05,6e-05
90,3762.0,-7.944471196799469,0.3,3348.0,-0.0003989422048192167,-0.0003082364634360966,6e-05,6e-05
91,3763.0,-8.433475729447226,0.3,3384.0,-0.0003695666905017454,-0.0003035132933826472,6e-05,6e-05
92,3764.0,-8.144142002169733,0.3,3420.0,-0.0003977154475513997,-0.00044251747107030605,6e-05,6e-05
93,3765.0,-7.949862087233879,0.3,3456.0,-0.0005222428254540465,-0.00023051616040482525,6e-05,6e-05
94,3766.0,-8.82982261234745,0.3,3492.0,-0.0004441228805828513,-0.00023408806949966164,6e-05,6e-05
95,3767.0,-8.61571502477294,0.3,3528.0,-0.0004155005992621847,-0.000300489406047726,6e-05,6e-05
96,3768.0,-8.798922859839974,0.3,3564.0,-0.0004374008366523685,-0.00018098089527418605,6e-05,6e-05
97,3769.0,-8.168138372565545,0.3,3600.0,-0.0004909341897822818,-0.00024211985392787053,6e-05,6e-05
98,3770.0,-8.540441965933082,0.3,3636.0,-0.000420511752279656,-0.00014725971918150526,6e-05,6e-05
99,3771.0,-8.770722300775798,0.3,3672.0,-0.0005483031140001776,-8.095117299553309e-05,6e-05,6e-05
100,3772.0,-8.516475047464207,0.3,5490.0,0.00022269417976984143,6.589384955268616e-06,5e-06,5e-06
101,3773.0,-8.583197035376273,0.3,5580.0,0.00023129015598747878,-2.2097818605185088e-05,5e-06,5e-06
102,3774.0,-8.302404555206962,0.3,5670.0,0.0002327803102130732,-6.184184815572588e-05,5e-06,5e-06
103,3775.0,-8.457484558340916,0.3,5760.0,0.00023798006911944603,-0.00010030483237017227,5e-06,5e-06
